model,tensor,role,layer,fmt,alpha,n_params,bits_per_value,bits_codes,bits_scales,bytes,changed_frac,has_calib,werr,werr_mxonly,mse,mse_mxonly
Qwen3-0.6B,model.layers.6.mlp.gate_proj.weight,gate_proj,6,mxfp8,5.0,3145728,6.369873046875,6.332611083984375,0.037261962890625,2504736,0.19859441121419272,True,2.9741759300231934,2.692122220993042,1.2184873412479647e-06,9.81420157586399e-07
Qwen3-0.6B,model.layers.6.mlp.up_proj.weight,up_proj,6,mxfp4,0.0,3145728,3.9122289021809897,3.8690160115559897,0.043212890625,1538351,0.0,True,15.612937927246094,15.612937927246094,9.379772563988809e-06,9.379772563988809e-06
Qwen3-0.6B,model.layers.6.mlp.up_proj.weight,up_proj,6,mxfp4,1.0,3145728,3.9119745890299478,3.8687616984049478,0.043212890625,1538251,0.0012989044189453125,True,15.61558723449707,15.612937927246094,9.389407750859391e-06,9.379772563988809e-06
Qwen3-0.6B,model.layers.6.mlp.up_proj.weight,up_proj,6,mxfp4,5.0,3145728,3.8184636433919272,3.7752507527669272,0.043212890625,1501481,0.11177857716878255,True,17.73059844970703,15.612937927246094,1.1218769941478968e-05,9.379772563988809e-06
Qwen3-0.6B,model.layers.6.mlp.up_proj.weight,up_proj,6,mxfp8,0.0,3145728,6.6655222574869795,6.6223093668619795,0.043212890625,2620990,0.0,True,0.9085241556167603,0.9085241556167603,6.364875844155904e-07,6.364875844155904e-07
Qwen3-0.6B,model.layers.6.mlp.up_proj.weight,up_proj,6,mxfp8,1.0,3145728,6.539685567220052,6.496472676595052,0.043212890625,2571509,0.08736165364583333,True,0.9228450059890747,0.9085241556167603,6.48791854018782e-07,6.364875844155904e-07
Qwen3-0.6B,model.layers.6.mlp.up_proj.weight,up_proj,6,mxfp8,5.0,3145728,6.4119618733723955,6.3687489827473955,0.043212890625,2521286,0.18479315439860025,True,1.0649937391281128,0.9085241556167603,7.715506740169076e-07,6.364875844155904e-07
Qwen3-0.6B,model.layers.6.self_attn.k_proj.weight,k_proj,6,mxfp4,0.0,1048576,3.9090042114257812,3.8665924072265625,0.04241180419921875,512361,0.0,True,2.632448196411133,2.632448196411133,1.0369181836722419e-05,1.0369181836722419e-05
Qwen3-0.6B,model.layers.6.self_attn.k_proj.weight,k_proj,6,mxfp4,1.0,1048576,3.7887344360351562,3.7463226318359375,0.04241180419921875,496597,0.16388988494873047,True,2.850320816040039,2.632448196411133,1.2670648175117094e-05,1.0369181836722419e-05
Qwen3-0.6B,model.layers.6.self_attn.k_proj.weight,k_proj,6,mxfp4,5.0,1048576,3.3359375,3.2935256958007812,0.04241180419921875,437248,0.47060203552246094,True,5.234194755554199,2.632448196411133,3.5416262107901275e-05,1.0369181836722419e-05
Qwen3-0.6B,model.layers.6.self_attn.k_proj.weight,k_proj,6,mxfp8,0.0,1048576,6.65618896484375,6.613777160644531,0.04241180419921875,872440,0.0,True,0.160826176404953,0.160826176404953,6.924544777575647e-07,6.924544777575647e-07
Qwen3-0.6B,model.layers.6.self_attn.k_proj.weight,k_proj,6,mxfp8,1.0,1048576,6.39453125,6.352119445800781,0.04241180419921875,838144,0.23671722412109375,True,0.17204365134239197,0.160826176404953,8.040388479457761e-07,6.924544777575647e-07
Qwen3-0.6B,model.layers.6.self_attn.k_proj.weight,k_proj,6,mxfp8,5.0,1048576,6.168968200683594,6.126556396484375,0.04241180419921875,808579,0.5060110092163086,True,0.2657352089881897,0.160826176404953,1.724582034512423e-06,6.924544777575647e-07
Qwen3-0.6B,model.layers.6.self_attn.o_proj.weight,o_proj,6,mxfp4,0.0,2097152,3.932788848876953,3.8846511840820312,0.048137664794921875,1030957,0.0,True,0.3813249170780182,0.3813249170780182,8.516353773302399e-06,8.516353773302399e-06
Qwen3-0.6B,model.layers.6.self_attn.o_proj.weight,o_proj,6,mxfp4,1.0,2097152,3.2649688720703125,3.2168312072753906,0.048137664794921875,855892,0.5131115913391113,True,1.2172777652740479,0.3813249170780182,4.329526564106345e-05,8.516353773302399e-06
Qwen3-0.6B,model.layers.6.self_attn.o_proj.weight,o_proj,6,mxfp4,5.0,2097152,3.0108108520507812,2.9626731872558594,0.048137664794921875,789266,0.6531219482421875,True,2.035527467727661,0.3813249170780182,6.0376100009307265e-05,8.516353773302399e-06
Qwen3-0.6B,model.layers.6.self_attn.o_proj.weight,o_proj,6,mxfp8,0.0,2097152,6.657989501953125,6.609851837158203,0.048137664794921875,1745352,0.0,True,0.024924246594309807,0.024924246594309807,5.705990133719752e-07,5.705990133719752e-07
Qwen3-0.6B,model.layers.6.self_attn.o_proj.weight,o_proj,6,mxfp8,1.0,2097152,6.106815338134766,6.058677673339844,0.048137664794921875,1600865,0.5755758285522461,True,0.06034480035305023,0.024924246594309807,2.119731107086409e-06,5.705990133719752e-07
Qwen3-0.6B,model.layers.6.self_attn.o_proj.weight,o_proj,6,mxfp8,5.0,2097152,5.891452789306641,5.843315124511719,0.048137664794921875,1544409,0.7593464851379395,True,0.11768779158592224,0.024924246594309807,3.6170420116832247e-06,5.705990133719752e-07
Qwen3-0.6B,model.layers.6.self_attn.q_proj.weight,q_proj,6,mxfp4,0.0,2097152,3.902576446533203,3.859935760498047,0.04264068603515625,1023037,0.0,True,5.4094038009643555,5.4094038009643555,1.2251050065970048e-05,1.2251050065970048e-05
Qwen3-0.6B,model.layers.6.self_attn.q_proj.weight,q_proj,6,mxfp4,1.0,2097152,3.7842369079589844,3.741596221923828,0.04264068603515625,992015,0.14601993560791016,True,5.890190601348877,5.4094038009643555,1.480498758610338e-05,1.2251050065970048e-05
Qwen3-0.6B,model.layers.6.self_attn.q_proj.weight,q_proj,6,mxfp4,5.0,2097152,3.3101158142089844,3.267475128173828,0.04264068603515625,867727,0.4778561592102051,True,11.874321937561035,5.4094038009643555,4.3115844164276496e-05,1.2251050065970048e-05
Qwen3-0.6B,model.layers.6.self_attn.q_proj.weight,q_proj,6,mxfp8,0.0,2097152,6.661586761474609,6.618946075439453,0.04264068603515625,1746295,0.0,True,0.318833589553833,0.318833589553833,8.214028071051871e-07,8.214028071051871e-07
Qwen3-0.6B,model.layers.6.self_attn.q_proj.weight,q_proj,6,mxfp8,1.0,2097152,6.4035797119140625,6.360939025878906,0.04264068603515625,1678660,0.2225341796875,True,0.34977787733078003,0.318833589553833,9.78376533566916e-07,8.214028071051871e-07
Qwen3-0.6B,model.layers.6.self_attn.q_proj.weight,q_proj,6,mxfp8,5.0,2097152,6.173805236816406,6.13116455078125,0.04264068603515625,1618426,0.5066814422607422,True,0.5759365558624268,0.318833589553833,2.0608672457456123e-06,8.214028071051871e-07
Qwen3-0.6B,model.layers.6.self_attn.v_proj.weight,v_proj,6,mxfp4,0.0,1048576,3.8967056274414062,3.8533554077148438,0.0433502197265625,510749,0.0,True,1.6763001680374146,1.6763001680374146,1.064756179403048e-05,1.064756179403048e-05
Qwen3-0.6B,model.layers.6.self_attn.v_proj.weight,v_proj,6,mxfp4,1.0,1048576,3.8668441772460938,3.8234939575195312,0.0433502197265625,506835,0.07002830505371094,True,1.7892018556594849,1.6763001680374146,1.1924614227609709e-05,1.064756179403048e-05
Qwen3-0.6B,model.layers.6.self_attn.v_proj.weight,v_proj,6,mxfp4,5.0,1048576,3.5337905883789062,3.4904403686523438,0.0433502197265625,463181,0.4485006332397461,True,5.12258243560791,1.6763001680374146,4.3737531086662784e-05,1.064756179403048e-05
Qwen3-0.6B,model.layers.6.self_attn.v_proj.weight,v_proj,6,mxfp8,0.0,1048576,6.676887512207031,6.633537292480469,0.0433502197265625,875153,0.0,True,0.09087766706943512,0.09087766706943512,7.019663144092192e-07,7.019663144092192e-07
Qwen3-0.6B,model.layers.6.self_attn.v_proj.weight,v_proj,6,mxfp8,1.0,1048576,6.4486236572265625,6.4052734375,0.0433502197265625,845234,0.1659221649169922,True,0.09994712471961975,0.09087766706943512,7.898570402176119e-07,7.019663144092192e-07
Qwen3-0.6B,model.layers.6.self_attn.v_proj.weight,v_proj,6,mxfp8,5.0,1048576,6.2237091064453125,6.18035888671875,0.0433502197265625,815754,0.43567943572998047,True,0.2054850459098816,0.09087766706943512,1.8245702904096106e-06,7.019663144092192e-07
Qwen3-0.6B,model.layers.7.mlp.down_proj.weight,down_proj,7,mxfp4,0.0,3145728,3.905736287434896,3.8598047892252603,0.045931498209635414,1535798,0.0,True,1.0227525234222412,1.0227525234222412,8.551706741855014e-06,8.551706741855014e-06
Qwen3-0.6B,model.layers.7.mlp.down_proj.weight,down_proj,7,mxfp4,1.0,3145728,3.611017862955729,3.5650863647460938,0.045931498209635414,1419910,0.42241954803466797,True,2.6799981594085693,1.0227525234222412,3.3270855055889115e-05,8.551706741855014e-06
Qwen3-0.6B,model.layers.7.mlp.down_proj.weight,down_proj,7,mxfp4,5.0,3145728,3.3601888020833335,3.3142573038736978,0.045931498209635414,1321280,0.6425339380900065,True,5.459422588348389,1.0227525234222412,5.8742985856952146e-05,8.551706741855014e-06
Qwen3-0.6B,model.layers.7.mlp.down_proj.weight,down_proj,7,mxfp8,0.0,3145728,6.693430582682292,6.647499084472656,0.045931498209635414,2631964,0.0,True,0.0653640478849411,0.0653640478849411,5.800127951260947e-07,5.800127951260947e-07
Qwen3-0.6B,model.layers.7.mlp.down_proj.weight,down_proj,7,mxfp8,1.0,3145728,6.275952657063802,6.230021158854167,0.045931498209635414,2467805,0.4409281412760417,True,0.11841079592704773,0.0653640478849411,1.355649033030204e-06,5.800127951260947e-07
Qwen3-0.6B,model.layers.7.mlp.down_proj.weight,down_proj,7,mxfp8,5.0,3145728,5.9940643310546875,5.948132832845052,0.045931498209635414,2356962,0.731565793355306,True,0.29238778352737427,0.0653640478849411,3.2801665383885847e-06,5.800127951260947e-07
Qwen3-0.6B,model.layers.7.mlp.gate_proj.weight,gate_proj,7,mxfp4,0.0,3145728,3.9467442830403647,3.909393310546875,0.037350972493489586,1551923,0.0,True,41.898353576660156,41.898353576660156,1.4991877833381295e-05,1.4991877833381295e-05
Qwen3-0.6B,model.layers.7.mlp.gate_proj.weight,gate_proj,7,mxfp4,1.0,3145728,3.9347152709960938,3.897364298502604,0.037350972493489586,1547193,0.0024426778157552085,True,41.913902282714844,41.898353576660156,1.5011188224889338e-05,1.4991877833381295e-05
Qwen3-0.6B,model.layers.7.mlp.gate_proj.weight,gate_proj,7,mxfp4,5.0,3145728,3.8359451293945312,3.7985941569010415,0.037350972493489586,1508355,0.09574826558430989,True,46.330543518066406,41.898353576660156,1.8788516172207892e-05,1.4991877833381295e-05
Qwen3-0.6B,model.layers.7.mlp.gate_proj.weight,gate_proj,7,mxfp8,0.0,3145728,6.6369578043619795,6.599606831868489,0.037350972493489586,2609758,0.0,True,2.7610597610473633,2.7610597610473633,9.920951242747833e-07,9.920951242747833e-07
Qwen3-0.6B,model.layers.7.mlp.gate_proj.weight,gate_proj,7,mxfp8,1.0,3145728,6.497904459635417,6.460553487141927,0.037350972493489586,2555080,0.10200023651123047,True,2.802198886871338,2.7610597610473633,1.0241806194244418e-06,9.920951242747833e-07
Qwen3-0.6B,model.layers.7.mlp.gate_proj.weight,gate_proj,7,mxfp8,5.0,3145728,6.361470540364583,6.324119567871094,0.037350972493489586,2501432,0.20583343505859375,True,3.0555620193481445,2.7610597610473633,1.2183641047158744e-06,9.920951242747833e-07
