n_params,rows,cols,sqnr_db,nmse,max_abs_err,rms_weight,kurtosis,block_kurtosis,block_crest,code_entropy,code_entropy_ratio,scale_entropy,scale_span,zero_rate,top_level_rate,sat_rate,sat_block_rate,n_blocks,bits_per_value,bytes_bf16,bytes_mx,model,tensor,fmt,role,layer,dtype
3145728,1024,3072,18.532253813082036,0.014020858897357316,0.08984375,0.024010574507694442,4.189442837902104,3.177607854207357,2.496816317240397,3.8391591967747414,0.9597897991936853,1.2589709686764186,5,0.09390894571940105,0.05776850382486979,0.02519671122233073,0.441497802734375,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.13.mlp.down_proj.weight,mxfp4,down_proj,13,bfloat16
3145728,1024,3072,30.287776759863192,0.000935884649570659,0.02734375,0.024010574507694442,4.189442837902104,3.177607854207357,2.496816317240397,6.5712820988578216,0.8214102623572277,1.2589709686764186,5,4.450480143229167e-06,0.012334505716959635,0.008671760559082031,0.21437581380208334,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.13.mlp.down_proj.weight,mxfp8,down_proj,13,bfloat16
3145728,3072,1024,18.69270317068032,0.013512312571570435,0.091796875,0.02852065105213955,5.112326509505131,2.9138259887695312,2.398113250732422,3.8507311897054635,0.9626827974263659,1.2579583121406863,6,0.08787250518798828,0.058250109354654946,0.024311383565266926,0.4206034342447917,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.13.mlp.gate_proj.weight,mxfp4,gate_proj,13,bfloat16
3145728,3072,1024,30.429705936018458,0.0009057939307937633,0.0302734375,0.02852065105213955,5.112326509505131,2.9138259887695312,2.398113250732422,6.534108941024018,0.8167636176280022,1.2579583121406863,6,4.76837158203125e-06,0.011531511942545572,0.008014043172200521,0.19243367513020834,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.13.mlp.gate_proj.weight,mxfp8,gate_proj,13,bfloat16
3145728,3072,1024,18.656325609569844,0.013625970333052757,0.0537109375,0.02552825964033989,3.6973446074040153,2.959339141845703,2.4134947458902993,3.85320354519206,0.963300886298015,1.1012378817549788,4,0.08967971801757812,0.06089496612548828,0.025994618733723957,0.4442952473958333,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.13.mlp.up_proj.weight,mxfp4,up_proj,13,bfloat16
3145728,3072,1024,30.375278101169574,0.0009172171993584187,0.0224609375,0.02552825964033989,3.6973446074040153,2.959339141845703,2.4134947458902993,6.546848413626463,0.8183560517033078,1.1012378817549788,4,2.5431315104166665e-06,0.01239617665608724,0.008582433064778646,0.2100830078125,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.13.mlp.up_proj.weight,mxfp8,up_proj,13,bfloat16
1048576,1024,1024,18.710194050402603,0.013458002199948745,0.048828125,0.02427305269181869,4.944793386603979,2.9154529571533203,2.3994996547698975,3.8498778340672084,0.9624694585168021,1.3964203012930898,6,0.0870199203491211,0.05769062042236328,0.02423858642578125,0.414825439453125,32768,4.25,2097152,557056,Qwen3-0.6B,model.layers.13.self_attn.k_proj.weight,mxfp4,k_proj,13,bfloat16
1048576,1024,1024,30.47224654451029,0.0008969646872067665,0.017578125,0.02427305269181869,4.944793386603979,2.9154529571533203,2.3994996547698975,6.5306788184120705,0.8163348523015088,1.3964203012930898,6,3.814697265625e-06,0.011431694030761719,0.007961273193359375,0.190643310546875,32768,8.25,2097152,1081344,Qwen3-0.6B,model.layers.13.self_attn.k_proj.weight,mxfp8,k_proj,13,bfloat16
2097152,1024,2048,18.664199515245624,0.01360128836988662,0.0546875,0.022533231727689073,4.055442640844696,2.903898000717163,2.397524833679199,3.8540799755415174,0.9635199938853793,1.3139330484371303,6,0.0859832763671875,0.05962371826171875,0.025003910064697266,0.4454345703125,65536,4.25,4194304,1114112,Qwen3-0.6B,model.layers.13.self_attn.o_proj.weight,mxfp4,o_proj,13,bfloat16
2097152,1024,2048,30.360160308906835,0.0009204155962947003,0.0234375,0.022533231727689073,4.055442640844696,2.903898000717163,2.397524833679199,6.528077537684704,0.816009692210588,1.3139330484371303,6,3.337860107421875e-06,0.011740684509277344,0.008128643035888672,0.199981689453125,65536,8.25,4194304,2162688,Qwen3-0.6B,model.layers.13.self_attn.o_proj.weight,mxfp8,o_proj,13,bfloat16
